time,t1,t2
2020-04-02 17:02:41,24.6,24.4
2020-04-02 17:03:03,24.6,24.5
2020-04-02 17:03:25,24.6,24.4
2020-04-02 17:03:47,24.6,24.4
2020-04-02 17:04:08,24.6,24.4
2020-04-02 17:04:30,24.6,24.4
2020-04-02 17:04:52,24.6,24.4
2020-04-02 17:05:14,24.6,24.4
2020-04-02 17:05:35,24.6,24.4
2020-04-02 17:05:57,24.6,24.4
2020-04-02 17:06:19,24.6,24.4
2020-04-02 17:06:41,24.7,24.6
2020-04-02 17:07:03,24.6,24.6
2020-04-02 17:07:25,24.7,24.6
2020-04-02 17:07:47,24.8,24.7
2020-04-02 17:08:09,24.7,24.6
2020-04-02 17:08:31,24.6,24.5
2020-04-02 17:08:53,24.6,24.5
2020-04-02 17:09:14,24.6,24.5
2020-04-02 17:09:36,24.6,24.5
2020-04-02 17:09:58,24.6,24.4
2020-04-02 17:10:20,24.6,24.5
2020-04-02 17:10:42,24.8,24.6
2020-04-02 17:11:03,24.7,24.6
2020-04-02 17:11:25,24.6,24.5
2020-04-02 17:11:47,24.7,24.6
2020-04-02 17:12:09,24.7,24.6
2020-04-02 17:12:31,24.7,24.6
2020-04-02 17:12:53,24.7,24.5
2020-04-02 17:13:15,24.6,24.5
2020-04-02 17:13:36,24.6,24.5
2020-04-02 17:13:58,24.6,24.5
2020-04-02 17:14:20,24.6,24.5
2020-04-02 17:14:42,24.6,24.4
2020-04-02 17:15:04,24.8,24.7
2020-04-02 17:15:26,24.8,24.6
2020-04-02 17:15:47,24.7,24.6
2020-04-02 17:16:09,24.7,24.6
2020-04-02 17:16:31,24.7,24.6
2020-04-02 17:16:53,24.6,24.6
2020-04-02 17:17:15,24.7,24.6
2020-04-02 17:17:37,24.7,24.6
2020-04-02 17:17:58,24.7,24.6
2020-04-02 17:18:20,24.7,24.6
2020-04-02 17:18:42,24.7,24.6
2020-04-02 17:19:04,24.7,24.6
2020-04-02 17:19:26,24.7,24.6
2020-04-02 17:19:47,24.7,24.6
2020-04-02 17:20:09,24.7,24.6
2020-04-02 17:20:31,24.8,24.6
2020-04-02 17:20:53,24.7,24.6
2020-04-02 17:21:15,24.8,24.6
2020-04-02 17:21:37,24.6,24.5
2020-04-02 17:21:59,24.6,24.6
2020-04-02 17:22:20,24.6,24.6
2020-04-02 17:22:42,24.7,24.6
2020-04-02 17:23:04,24.7,24.6
2020-04-02 17:23:26,24.7,24.6
2020-04-02 17:23:48,24.7,24.6
2020-04-02 17:24:09,24.7,24.6
2020-04-02 17:24:31,24.7,24.6
2020-04-02 17:24:53,24.8,24.6
2020-04-02 17:25:15,24.7,24.6
2020-04-02 17:25:37,24.7,24.6
2020-04-02 17:25:59,24.7,24.6
2020-04-02 17:26:21,24.6,24.6
2020-04-02 17:26:42,24.7,24.6
2020-04-02 17:27:04,24.7,24.6
2020-04-02 17:27:26,24.7,24.6
2020-04-02 17:27:48,24.8,24.6
2020-04-02 17:28:10,24.7,24.6
2020-04-02 17:28:31,24.7,24.6
2020-04-02 17:28:53,24.7,24.6
2020-04-02 17:29:15,24.7,24.6
2020-04-02 17:29:37,24.8,24.7
2020-04-02 17:29:59,24.7,24.6
2020-04-02 17:30:20,24.6,24.6
2020-04-02 17:30:42,24.7,24.6
2020-04-02 17:31:04,24.8,24.6
2020-04-02 17:31:26,24.8,24.6
2020-04-02 17:31:48,24.7,24.6
2020-04-02 17:32:10,24.7,24.6
2020-04-02 17:32:32,24.6,24.5
2020-04-02 17:32:53,24.6,24.5
2020-04-02 17:33:15,24.6,24.5
2020-04-02 17:33:37,24.6,24.5
2020-04-02 17:33:59,24.6,24.5
2020-04-02 17:34:21,24.6,24.5
2020-04-02 17:34:42,24.6,24.4
2020-04-02 17:35:04,24.6,24.4
2020-04-02 17:35:26,24.6,24.5
2020-04-02 17:35:48,24.6,24.5
2020-04-02 17:36:10,24.7,24.6
2020-04-02 17:36:32,24.8,24.7
2020-04-02 17:36:53,24.9,24.8
2020-04-02 17:37:15,24.9,24.8
2020-04-02 17:37:37,24.9,24.9
2020-04-02 17:37:59,24.9,24.9
2020-04-02 17:38:21,24.9,24.8
2020-04-02 17:38:42,24.9,24.8
2020-04-02 17:39:04,24.9,24.8
2020-04-02 17:39:26,24.9,24.8
2020-04-02 17:39:48,25.0,24.9
2020-04-02 17:40:10,25.1,24.9
2020-04-02 17:40:32,25.0,24.9
2020-04-02 17:40:53,25.0,24.9
2020-04-02 17:41:15,25.0,24.9
2020-04-02 17:41:37,24.9,24.9
2020-04-02 17:41:59,25.0,24.9
2020-04-02 17:42:21,25.0,24.9
2020-04-02 17:42:43,25.0,24.9
2020-04-02 17:43:04,25.0,24.9
2020-04-02 17:43:26,25.0,24.9
2020-04-02 17:43:48,25.0,24.9
2020-04-02 17:44:10,25.1,24.9
2020-04-02 17:44:32,25.1,24.9
2020-04-02 17:44:53,25.1,24.9
2020-04-02 17:45:15,25.1,24.9
2020-04-02 17:45:37,25.1,24.9
2020-04-02 17:45:59,25.1,24.9
2020-04-02 17:46:21,25.1,25.0
2020-04-02 17:46:42,25.1,25.0
2020-04-02 17:47:04,25.1,24.9
2020-04-02 17:47:26,25.1,25.0
2020-04-02 17:47:48,25.1,24.9
2020-04-02 17:48:10,25.1,25.0
2020-04-02 17:48:32,25.1,24.9
2020-04-02 17:48:53,25.1,25.1
2020-04-02 17:49:15,25.1,25.1
2020-04-02 17:49:37,25.1,25.1
2020-04-02 17:49:59,25.1,25.1
2020-04-02 17:50:21,25.2,25.1
2020-04-02 17:50:43,25.2,25.1
2020-04-02 17:51:04,25.2,25.1
2020-04-02 17:51:26,25.1,25.1
2020-04-02 17:51:48,25.2,25.1
2020-04-02 17:52:10,25.1,25.1
2020-04-02 17:52:32,25.1,25.1
2020-04-02 17:52:54,25.1,25.1
2020-04-02 17:53:15,25.2,25.1
2020-04-02 17:53:37,25.1,25.1
2020-04-02 17:53:59,25.1,25.1
2020-04-02 17:54:21,25.1,25.1
2020-04-02 17:54:43,25.2,25.1
2020-04-02 17:55:05,25.2,25.1
2020-04-02 17:55:26,25.2,25.1
2020-04-02 17:55:48,25.2,25.1
2020-04-02 17:56:10,25.2,25.1
2020-04-02 17:56:32,25.1,25.1
2020-04-02 17:56:53,25.2,25.1
2020-04-02 17:57:15,25.2,25.1
2020-04-02 17:57:37,25.2,25.1
2020-04-02 17:57:59,25.2,25.1
2020-04-02 17:58:21,25.2,25.1
2020-04-02 17:58:43,25.1,25.1
2020-04-02 17:59:05,25.2,25.1
2020-04-02 17:59:26,25.2,25.1
2020-04-02 17:59:48,25.2,25.1
2020-04-02 18:00:10,25.2,25.2
2020-04-02 18:00:32,25.2,25.1
2020-04-02 18:00:54,25.2,25.1
2020-04-02 18:01:16,25.2,25.1
2020-04-02 18:01:37,25.2,25.1
